index,disease_name,supplement name,supplement image,buy link
0,Apple___Apple_scab,Tilt 250EC 200ml Propiconazole Syngenta Fungicide,https://www.kissanghar.pk/assets/img/product/02391820221230158.jpg,https://www.kissanghar.pk/product-details?name=Tilt-250ec-200ml-Propiconazole-Syngenta-Pakistan-Fungicide&c=1024
1,Apple___Black_rot,Azonil Fungicide 560SC 500ML,https://www.kissanghar.pk/assets/img/product/32011520240917922.jpg,https://www.kissanghar.pk/product-details?name=Azonil-Fungicide-560SC-500ML-for-all-crops-and-plants-New-chemistry-Azoxystrobin-+-Chlorothalonil-Zhengbang-Pakistan&c=1808
2,Apple___Cedar_apple_rust,Sulphur 80 Fmc Sulfer Fungicides,https://www.kissanghar.pk/assets/img/product/26162020210725597.jpg,https://www.kissanghar.pk/product-details?name=1kg-Sulphur-80%-Fmc-Sulfer-Fungicides-&c=434
3,Apple___healthy,Ammonium Sulphate | Manuachar Amonium Salfate Amunium Nitrogen 21 Sulfur 24 ,https://www.kissanghar.pk/assets/img/product/44031520241201548.jpg,https://www.kissanghar.pk/product-details?name=Ammonium-Sulphate-50kg-(21-0-0+24s)-Manuachar-Amonium-Salfate-Amunium-Nitrogen-21-Sulfur-24-%D8%A7%D9%85%D9%88%D9%86%DB%8C%D9%85-%D8%B3%D9%84%D9%81%DB%8C%D9%B9&c=1896
4,Background_without_leaves,,,
5,Blueberry___healthy,GreenStix Fertilizer,https://www.kissanghar.pk/assets/img/product/31131920240927563.jpg,"https://www.kissanghar.pk/product-details?name=Dermashine-60-Capsules-In-1-Bottle-Recipe-of-Turkey-Derma-shine-Capsules-Trichoderma-Spp-is-Advance-formulation-to-mange-seed,-soil-and-roots-born-diseases-Sunway-Agro-Chemicals&c=1823"
6,Cherry___Powdery_mildew,ROM Mildew CleanSuccess 250gm Chlorothalonill + Metalaxy Arysta Life Science,https://www.kissanghar.pk/assets/img/product/02202020230103188.jpg,https://www.kissanghar.pk/product-details?name=Success-250gm-Chlorothalonill-640gm/kg-+-Metalaxyl-80gm/kg-Arysta-Life-Science&c=1030
7,Cherry___healthy,Calcium Poly Sulphide 30kg Liquid Fertilizer ,https://www.kissanghar.pk/assets/img/product/10131820240629401.jpg,https://www.kissanghar.pk/product-details?name=Calcium-Poly-Sulphide-30kg-Liquid-Fertilizer-For-All-Crops-And-All-Soils-Calcium-Polysulfied-Polysulphide-CaO.....10-Elemental-sulfur...20&c=1697
8,Corn___Cercospora_leaf_spot Gray_leaf_spot,Antracol 70WP Propineb 1kg Bayer Crop Science Best Fungicide,https://www.kissanghar.pk/assets/img/product/28491320201013314.jpg,https://www.kissanghar.pk/product-details?name=Antracol-70%wp-Propineb-70%-1kg-Bayer-Crop-Science-&c=191
9,Corn___Common_rust,Cymoxanil + Mancozeb 72WP Fungicide FMC,https://www.kissanghar.pk/assets/img/product/03041220201017651.jpg,https://www.kissanghar.pk/product-details?name=Cymoxanil-+-Mancozeb-72%wp&c=207
10,Corn___Northern_Leaf_Blight,Limin Lingxiu 32.5% Sc 250ml Ici Azoxystrobin 20%+diafenoconazole 12.5%,https://www.kissanghar.pk/assets/img/product/36501420210422618.jpg,https://www.kissanghar.pk/product-details?name=Limin-Lingxiu-32.5%-Sc-250ml-Ici-Azoxystrobin-20%+diafenoconazole-12.5%&c=345
11,Corn___healthy,Rhizophos 1Litre Agritech Crop Science Phosphorus Solubilizing Bacteria Consultant,https://www.kissanghar.pk/assets/img/product/04281920240302576.jpg,https://www.kissanghar.pk/product-details?name=Rhizophos-1Litre-Agritech-Crop-Science-Phosphorus-Solubilizing-Bacteria-Consultant-Agro-Zia-Consultant-Rhizo-Phos-Bacteria-to-Grow-Fast-Rhyzophos-Rhyzo-Phos&c=1603
12,Grape___Black_rot,Southern Ag Captan 50% WP Fungicide,https://www.kissanghar.pk/assets/img/product/51241820231231735.jpg,https://www.kissanghar.pk/product-details?name=Nautile-72WP-Cymoxanil-+-Mancozeb-Fungicide-ICI-LCI-Pesticides-Lucky-Core-Industries&c=1527
13,Grape___Esca_(Black_Measles),ALIETTE FUNGICIDE,https://www.kissanghar.pk/assets/img/product/42122020210128884.webp,https://www.kissanghar.pk/product-details?name=Aliette-80%-Wp-250-Gr-Fosetyl-Aluminum-80%-&c=299
14,Grape___Leaf_blight_(Isariopsis_Leaf_Spot),"Tebulur Tebuconazole 10% + Sulphur 65% WG , Advance Broad Spectrum Premix Fungicides",https://www.kissanghar.pk/assets/img/product/59231920201008238.jpg,https://www.kissanghar.pk/product-details?name=Nativo-75-Percent-Wg-65gm-Tebuconazole-+-Trifloxystrobin-Fungicide-Bayer-Crop&c=160
15,Grape___healthy,Sansar Green Grapes Fertilizer Fertilizer,https://www.kissanghar.pk/assets/img/product/44001920240903361.jpg,https://www.kissanghar.pk/product-details?name=PK-Super-Hit-1Litre-Phosphorus-P2O5-45-Potash-K2O-55-Imported-American-Technology-Liquid-Fertilizer-Solex-Chemicals-PK-45-55-Superhit&c=1775
16,Orange___Haunglongbing_(Citrus_greening),Green Dews CITRUS PLANT FOOD Fertilizer ,https://www.kissanghar.pk/assets/img/product/12421220240630792.jpg,https://www.kissanghar.pk/product-details?name=NPk-5-70-3-1Litre-MAD-TOUCHUP-TOUCH-UP-NPK-Suspension-Fertilizer-Al-Ameen-For-Agriculture-Pvt-Ltd-High-Phosphorous-Foliar-Spray&c=1698
17,Peach___Bacterial_spot,SCORE FUNGICIDE,https://www.kissanghar.pk/assets/img/product/45161420230612550.jpg,https://www.kissanghar.pk/product-details?name=Pendimethalin-1litre-Herbicide-Composition:-330gm/l-Pendimethalin-Syngenta-Pakistan&c=1196
18,Peach___healthy,Jeevamrut (Plant Growth Tonic),https://www.kissanghar.pk/assets/img/product/53181420240828659.jpg,"https://www.kissanghar.pk/product-details?name=Soil-Activator-100GM-A-natural-and-powerful-biofertilizer-for-active-soil-and-vigorous-crops-from-the-roots-up-Earth-Alive-OMRI-Canada-Bacillus-subtilis,-Bacillus-AMYLOLIQUEFACIENS,-PSEUDOMONAS-MONTELII&c=1770"
19,"Pepper,_bell___Bacterial_spot",Systemic Fungicide (Domark) Tetraconazole 3.8% w/w (4% w/v) EW,https://www.kissanghar.pk/assets/img/product/54381720241124919.jpg,"https://www.kissanghar.pk/product-details?name=Domark-XL-180SC-400ML-Powerful-latest-fungicide-for-all-crops-early-blight,-late-blight-and-all-other-plant-diseases-Swat-Agro-chemicals-at-best-price-Azoxystrobin-100g/L-+-Tetraconazole-80g/L-DomarkXL&c=1891"
